date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2019-07-01,14.59,0.99,30,"1989-07-01 2018-07-01",86.42,4.08,30,"1989-07-01 2018-07-01",22.45,1,30,"1989-07-01 2018-07-01",22.32,2.43,30,"1989-07-01 2018-07-01",10.91,1.05,30,"1989-07-01 2018-07-01",56.1,3.84,30,"1989-07-01 2018-07-01",13.99,0.74,30,"1989-07-01 2018-07-01",3.56,1.13,30,"1989-07-01 2018-07-01",30.6,21.73,30,"1989-07-01 2018-07-01",30.51,21.72,30,"1989-07-01 2018-07-01",0,0,30,"1989-07-01 2018-07-01",0,0,28,"1989-07-01 2017-07-01",,,,
2019-06-01,12.48,1.1,30,"1989-06-01 2018-06-01",87.11,4.35,30,"1989-06-01 2018-06-01",19.71,1.22,30,"1989-06-01 2018-06-01",22.53,2.13,30,"1989-06-01 2018-06-01",8.5,1.06,30,"1989-06-01 2018-06-01",56.6,3.4,30,"1989-06-01 2018-06-01",11.88,0.72,30,"1989-06-01 2018-06-01",3.5,1.05,30,"1989-06-01 2018-06-01",51.47,25.37,30,"1989-06-01 2018-06-01",51.43,25.38,30,"1989-06-01 2018-06-01",0,0,30,"1989-06-01 2018-06-01",0,0,28,"1989-06-01 2016-06-01",,,,
2019-05-01,10.28,1.31,29,"1989-05-01 2017-05-01",88.16,3.86,29,"1989-05-01 2017-05-01",16.98,1.21,30,"1989-05-01 2018-05-01",23.42,2.27,30,"1989-05-01 2018-05-01",5.92,1.48,29,"1989-05-01 2017-05-01",57.35,3.58,29,"1989-05-01 2017-05-01",9.1,0.93,30,"1989-05-01 2018-05-01",3.08,0.91,30,"1989-05-01 2018-05-01",58.74,26.87,30,"1989-05-01 2018-05-01",58.38,26.72,30,"1989-05-01 2018-05-01",0,0,30,"1989-05-01 2018-05-01",0,0,29,"1989-05-01 2017-05-01",,,,
2019-04-01,7.47,1.17,30,"1989-04-01 2018-04-01",89.35,3.62,30,"1989-04-01 2018-04-01",13.26,1.05,30,"1989-04-01 2018-04-01",25.12,2.95,30,"1989-04-01 2018-04-01",2.74,1.35,30,"1989-04-01 2018-04-01",58.49,3.41,30,"1989-04-01 2018-04-01",5.82,0.93,30,"1989-04-01 2018-04-01",3.02,1.2,30,"1989-04-01 2018-04-01",85.53,38.15,30,"1989-04-01 2018-04-01",85.2,38.06,30,"1989-04-01 2018-04-01",0.08,0.4,30,"1989-04-01 2018-04-01",0,0,28,"1989-04-01 2016-04-01",,,,
2019-03-01,5.36,1.46,30,"1989-03-01 2018-03-01",90.77,3.83,30,"1989-03-01 2018-03-01",10.19,1.15,30,"1989-03-01 2018-03-01",26.08,3.59,30,"1989-03-01 2018-03-01",0.75,1.68,30,"1989-03-01 2018-03-01",62.93,3.81,30,"1989-03-01 2018-03-01",3.45,1.02,30,"1989-03-01 2018-03-01",3.73,1.53,30,"1989-03-01 2018-03-01",120.75,43.8,30,"1989-03-01 2018-03-01",118.53,43.82,30,"1989-03-01 2018-03-01",2.41,4.2,30,"1989-03-01 2018-03-01",0,0.11,29,"1989-03-01 2017-03-01",,,,
2019-02-01,3.81,2.07,30,"1989-02-01 2018-02-01",91.4,4.2,30,"1989-02-01 2018-02-01",7.98,1.49,30,"1989-02-01 2018-02-01",23.35,3.92,30,"1989-02-01 2018-02-01",-0.69,2.6,30,"1989-02-01 2018-02-01",67.31,6.64,30,"1989-02-01 2018-02-01",1.53,1.8,30,"1989-02-01 2018-02-01",3.01,1.6,30,"1989-02-01 2018-02-01",97.07,41.66,30,"1989-02-01 2018-02-01",89.38,39.24,30,"1989-02-01 2018-02-01",7.31,12.01,30,"1989-02-01 2018-02-01",0.7,1.93,30,"1989-02-01 2018-02-01",,,,
2019-01-01,3.94,1.75,30,"1989-01-01 2018-01-01",94.56,2.35,30,"1989-01-01 2018-01-01",6.8,1.5,30,"1989-01-01 2018-01-01",23.39,3.53,30,"1989-01-01 2018-01-01",-0.21,2.1,30,"1989-01-01 2018-01-01",75.05,4.89,30,"1989-01-01 2018-01-01",1.36,1.75,30,"1989-01-01 2018-01-01",3.41,1.33,30,"1989-01-01 2018-01-01",169.67,50.83,30,"1989-01-01 2018-01-01",160.17,53.07,30,"1989-01-01 2018-01-01",8.89,12.09,30,"1989-01-01 2018-01-01",1.2,2.35,29,"1989-01-01 2017-01-01",,,,
2018-12-01,3.27,2.01,30,"1988-12-01 2017-12-01",94.07,2.61,30,"1988-12-01 2017-12-01",6.43,1.42,30,"1988-12-01 2017-12-01",24.15,3.43,30,"1988-12-01 2017-12-01",-0.72,2.07,30,"1988-12-01 2017-12-01",75.2,4.84,30,"1988-12-01 2017-12-01",1.07,1.51,30,"1988-12-01 2017-12-01",3.47,1.24,30,"1988-12-01 2017-12-01",167.58,50.8,30,"1988-12-01 2017-12-01",152.71,47.29,30,"1988-12-01 2017-12-01",13.87,23.07,30,"1988-12-01 2017-12-01",0.8,2.11,30,"1988-12-01 2017-12-01",,,,
2018-11-01,6.16,1.44,29,"1988-11-01 2017-11-01",94.04,3.41,29,"1988-11-01 2017-11-01",9.34,1.09,30,"1988-11-01 2017-11-01",25.32,3.03,30,"1988-11-01 2017-11-01",2.07,1.7,29,"1988-11-01 2017-11-01",72.82,3.83,29,"1988-11-01 2017-11-01",3.64,1.43,30,"1988-11-01 2017-11-01",3.78,1.57,30,"1988-11-01 2017-11-01",183.86,60.98,30,"1988-11-01 2017-11-01",180.7,57.84,30,"1988-11-01 2017-11-01",2.72,7.81,30,"1988-11-01 2017-11-01",0.2,0.55,29,"1988-11-01 2016-11-01",,,,
2018-10-01,9.6,1.1,29,"1988-10-01 2016-10-01",93.59,3.81,29,"1988-10-01 2016-10-01",13.63,0.77,30,"1988-10-01 2017-10-01",23.4,3.05,30,"1988-10-01 2017-10-01",5.71,1.37,29,"1988-10-01 2016-10-01",70.47,4.08,29,"1988-10-01 2016-10-01",7.32,1.04,30,"1988-10-01 2017-10-01",2.69,1.1,30,"1988-10-01 2017-10-01",124.56,56.34,30,"1988-10-01 2017-10-01",124.44,56.51,30,"1988-10-01 2017-10-01",0.07,0.36,30,"1988-10-01 2017-10-01",0,0.01,29,"1988-10-01 2016-10-01",,,,
2018-09-01,13.03,1.08,29,"1988-09-01 2017-09-01",91.82,3.42,29,"1988-09-01 2017-09-01",19.06,0.98,30,"1988-09-01 2017-09-01",22.33,2.41,29,"1988-09-01 2017-09-01",9.25,1.04,29,"1988-09-01 2017-09-01",63.23,3.5,29,"1988-09-01 2017-09-01",11.18,0.75,30,"1988-09-01 2017-09-01",2.33,1.09,29,"1988-09-01 2017-09-01",55.51,42.8,30,"1988-09-01 2017-09-01",55.07,41.95,30,"1988-09-01 2017-09-01",0,0,30,"1988-09-01 2017-09-01",0,0,27,"1988-09-01 2016-09-01",,,,
2018-08-01,14.96,0.97,29,"1988-08-01 2017-08-01",88.86,3.52,29,"1988-08-01 2017-08-01",22.36,0.86,30,"1988-08-01 2017-08-01",21.72,2.2,29,"1988-08-01 2017-08-01",11.41,0.94,29,"1988-08-01 2017-08-01",58.11,3.57,29,"1988-08-01 2017-08-01",14.02,0.56,30,"1988-08-01 2017-08-01",2.61,0.97,29,"1988-08-01 2017-08-01",37.12,35.52,30,"1988-08-01 2017-08-01",37.12,35.52,30,"1988-08-01 2017-08-01",0,0,30,"1988-08-01 2017-08-01",0,0,28,"1988-08-01 2016-08-01",,,,
2018-07-01,14.53,0.96,30,"1988-07-01 2017-07-01",86.43,4.09,30,"1988-07-01 2017-07-01",22.39,0.96,30,"1988-07-01 2017-07-01",22.17,2.44,30,"1988-07-01 2017-07-01",10.84,1.05,30,"1988-07-01 2017-07-01",55.98,3.88,30,"1988-07-01 2017-07-01",13.95,0.77,30,"1988-07-01 2017-07-01",3.45,1.16,30,"1988-07-01 2017-07-01",31.15,21.29,30,"1988-07-01 2017-07-01",31.07,21.28,30,"1988-07-01 2017-07-01",0,0,30,"1988-07-01 2017-07-01",0,0,29,"1988-07-01 2017-07-01",,,,
2018-06-01,12.47,1.1,30,"1988-06-01 2017-06-01",87.18,4.37,30,"1988-06-01 2017-06-01",19.69,1.22,30,"1988-06-01 2017-06-01",22.37,2.1,30,"1988-06-01 2017-06-01",8.45,1.08,30,"1988-06-01 2017-06-01",56.5,3.47,30,"1988-06-01 2017-06-01",11.84,0.75,30,"1988-06-01 2017-06-01",3.41,0.99,30,"1988-06-01 2017-06-01",51.48,25.36,30,"1988-06-01 2017-06-01",51.44,25.37,30,"1988-06-01 2017-06-01",0,0,30,"1988-06-01 2017-06-01",0,0,29,"1988-06-01 2016-06-01",,,,
2018-05-01,10.27,1.29,30,"1988-05-01 2017-05-01",88.32,3.89,30,"1988-05-01 2017-05-01",16.88,1.15,30,"1988-05-01 2017-05-01",23.37,2.3,30,"1988-05-01 2017-05-01",5.89,1.46,30,"1988-05-01 2017-05-01",57.31,3.53,30,"1988-05-01 2017-05-01",9.04,0.9,30,"1988-05-01 2017-05-01",2.99,0.93,30,"1988-05-01 2017-05-01",63.49,28.86,30,"1988-05-01 2017-05-01",63.13,28.78,30,"1988-05-01 2017-05-01",0,0,30,"1988-05-01 2017-05-01",0,0,30,"1988-05-01 2017-05-01",,,,
2018-04-01,7.45,1.17,30,"1988-04-01 2017-04-01",89.14,3.62,30,"1988-04-01 2017-04-01",13.27,1.05,30,"1988-04-01 2017-04-01",25.06,2.95,30,"1988-04-01 2017-04-01",2.71,1.34,30,"1988-04-01 2017-04-01",58.32,3.19,30,"1988-04-01 2017-04-01",5.83,0.93,30,"1988-04-01 2017-04-01",2.95,1.19,30,"1988-04-01 2017-04-01",84.08,37.06,30,"1988-04-01 2017-04-01",83.74,36.95,30,"1988-04-01 2017-04-01",0.08,0.4,30,"1988-04-01 2017-04-01",0,0,29,"1988-04-01 2016-04-01",,,,
2018-03-01,5.34,1.47,30,"1988-03-01 2017-03-01",90.58,3.86,30,"1988-03-01 2017-03-01",10.21,1.14,30,"1988-03-01 2017-03-01",26.21,3.53,30,"1988-03-01 2017-03-01",0.74,1.68,30,"1988-03-01 2017-03-01",62.75,3.8,30,"1988-03-01 2017-03-01",3.48,1,30,"1988-03-01 2017-03-01",3.7,1.54,30,"1988-03-01 2017-03-01",121.63,43.88,30,"1988-03-01 2017-03-01",119.41,43.94,30,"1988-03-01 2017-03-01",2.41,4.2,30,"1988-03-01 2017-03-01",0,0.11,30,"1988-03-01 2017-03-01",,,,
2018-02-01,3.87,2.05,30,"1988-02-01 2017-02-01",91.35,4.19,30,"1988-02-01 2017-02-01",8.06,1.45,30,"1988-02-01 2017-02-01",23.34,3.93,30,"1988-02-01 2017-02-01",-0.6,2.59,30,"1988-02-01 2017-02-01",67.36,6.65,30,"1988-02-01 2017-02-01",1.6,1.8,30,"1988-02-01 2017-02-01",2.9,1.57,30,"1988-02-01 2017-02-01",95.94,41.87,30,"1988-02-01 2017-02-01",88.8,39.38,30,"1988-02-01 2017-02-01",6.55,11.52,30,"1988-02-01 2017-02-01",0.6,1.85,30,"1988-02-01 2017-02-01",,,,
2018-01-01,3.84,1.75,30,"1988-01-01 2017-01-01",94.41,2.39,30,"1988-01-01 2017-01-01",6.77,1.49,30,"1988-01-01 2017-01-01",23.2,3.49,30,"1988-01-01 2017-01-01",-0.34,2.08,30,"1988-01-01 2017-01-01",74.59,5.01,30,"1988-01-01 2017-01-01",1.27,1.73,30,"1988-01-01 2017-01-01",3.34,1.25,30,"1988-01-01 2017-01-01",164.47,50.38,30,"1988-01-01 2017-01-01",154.88,51.81,30,"1988-01-01 2017-01-01",9.07,12,30,"1988-01-01 2017-01-01",1.1,2.32,30,"1988-01-01 2017-01-01",,,,
2017-12-01,3.26,2.01,30,"1987-12-01 2016-12-01",94.04,2.58,30,"1987-12-01 2016-12-01",6.47,1.4,30,"1987-12-01 2016-12-01",24.22,3.35,30,"1987-12-01 2016-12-01",-0.71,2.07,30,"1987-12-01 2016-12-01",74.85,4.75,30,"1987-12-01 2016-12-01",1.11,1.49,30,"1987-12-01 2016-12-01",3.48,1.24,30,"1987-12-01 2016-12-01",167.06,50.85,30,"1987-12-01 2016-12-01",152.07,47.2,30,"1987-12-01 2016-12-01",14.04,22.99,30,"1987-12-01 2016-12-01",0.8,2.12,30,"1987-12-01 2016-12-01",,,,
2017-11-01,6.23,1.47,29,"1987-11-01 2016-11-01",94.17,3.43,29,"1987-11-01 2016-11-01",9.4,1.13,30,"1987-11-01 2016-11-01",25.17,3.08,30,"1987-11-01 2016-11-01",2.14,1.74,29,"1987-11-01 2016-11-01",72.9,3.85,29,"1987-11-01 2016-11-01",3.68,1.46,30,"1987-11-01 2016-11-01",3.68,1.51,30,"1987-11-01 2016-11-01",181.85,61.5,30,"1987-11-01 2016-11-01",178.77,58.31,30,"1987-11-01 2016-11-01",2.72,7.81,30,"1987-11-01 2016-11-01",0.2,0.54,30,"1987-11-01 2016-11-01",,,,
2017-10-01,9.63,1.1,30,"1987-10-01 2016-10-01",93.71,3.8,30,"1987-10-01 2016-10-01",13.69,0.83,30,"1987-10-01 2016-10-01",23.46,2.97,30,"1987-10-01 2016-10-01",5.71,1.35,30,"1987-10-01 2016-10-01",70.36,4.06,30,"1987-10-01 2016-10-01",7.33,1.03,30,"1987-10-01 2016-10-01",2.66,1.14,30,"1987-10-01 2016-10-01",121.41,59.35,30,"1987-10-01 2016-10-01",121.31,59.51,30,"1987-10-01 2016-10-01",0.07,0.36,30,"1987-10-01 2016-10-01",0,0.01,30,"1987-10-01 2016-10-01",,,,
2017-09-01,13.01,1.06,29,"1987-09-01 2016-09-01",91.9,3.44,29,"1987-09-01 2016-09-01",19.06,0.98,30,"1987-09-01 2016-09-01",22.28,2.44,29,"1987-09-01 2016-09-01",9.24,1.04,29,"1987-09-01 2016-09-01",63.2,3.52,29,"1987-09-01 2016-09-01",11.16,0.75,30,"1987-09-01 2016-09-01",2.25,1.09,29,"1987-09-01 2016-09-01",55.48,42.83,30,"1987-09-01 2016-09-01",55.03,41.97,30,"1987-09-01 2016-09-01",0,0,30,"1987-09-01 2016-09-01",0,0,28,"1987-09-01 2016-09-01",,,,
2017-08-01,14.9,0.95,29,"1987-08-01 2016-08-01",88.88,3.53,29,"1987-08-01 2016-08-01",22.33,0.85,30,"1987-08-01 2016-08-01",21.73,2.2,29,"1987-08-01 2016-08-01",11.37,0.93,29,"1987-08-01 2016-08-01",58.09,3.58,29,"1987-08-01 2016-08-01",13.98,0.58,30,"1987-08-01 2016-08-01",2.55,1,29,"1987-08-01 2016-08-01",37.82,35.08,30,"1987-08-01 2016-08-01",37.82,35.08,30,"1987-08-01 2016-08-01",0,0,30,"1987-08-01 2016-08-01",0,0,29,"1987-08-01 2016-08-01",,,,
2017-07-01,14.51,0.96,30,"1987-07-01 2016-07-01",86.54,4.11,30,"1987-07-01 2016-07-01",22.34,0.97,30,"1987-07-01 2016-07-01",22.12,2.42,30,"1987-07-01 2016-07-01",10.84,1.05,30,"1987-07-01 2016-07-01",56.11,3.82,30,"1987-07-01 2016-07-01",13.95,0.77,30,"1987-07-01 2016-07-01",3.39,1.1,30,"1987-07-01 2016-07-01",32.3,20.59,30,"1987-07-01 2016-07-01",32.21,20.59,30,"1987-07-01 2016-07-01",0,0,30,"1987-07-01 2016-07-01",0,0,29,"1987-07-01 2016-07-01",,,,
2017-06-01,12.46,1.1,30,"1987-06-01 2016-06-01",87.23,4.4,30,"1987-06-01 2016-06-01",19.72,1.22,30,"1987-06-01 2016-06-01",22.38,2.1,30,"1987-06-01 2016-06-01",8.46,1.08,30,"1987-06-01 2016-06-01",56.39,3.48,30,"1987-06-01 2016-06-01",11.84,0.75,30,"1987-06-01 2016-06-01",3.37,1.02,30,"1987-06-01 2016-06-01",50.52,26.06,30,"1987-06-01 2016-06-01",50.48,26.07,30,"1987-06-01 2016-06-01",0,0,30,"1987-06-01 2016-06-01",0,0,30,"1987-06-01 2016-06-01",,,,
2017-05-01,10.25,1.28,30,"1987-05-01 2016-05-01",88.3,3.88,30,"1987-05-01 2016-05-01",16.89,1.16,30,"1987-05-01 2016-05-01",23.42,2.32,30,"1987-05-01 2016-05-01",5.87,1.46,30,"1987-05-01 2016-05-01",57.1,3.43,30,"1987-05-01 2016-05-01",9.04,0.89,30,"1987-05-01 2016-05-01",2.97,0.91,30,"1987-05-01 2016-05-01",62.94,28.27,30,"1987-05-01 2016-05-01",62.58,28.19,30,"1987-05-01 2016-05-01",0,0,30,"1987-05-01 2016-05-01",0,0,30,"1987-05-01 2016-05-01",,,,
