,datasetid,recordid,record_timestamp,fields.status,fields.descriptionofwork,fields.yearofinstallation,fields.photourl.mimetype,fields.photourl.format,fields.photourl.filename,fields.photourl.width,fields.photourl.id,fields.photourl.height,fields.photourl.thumbnail,fields.sitename,fields.registryid,fields.url,fields.neighbourhood,fields.geom.type,fields.geom.coordinates,fields.photocredits,fields.ownership,fields.artists,fields.siteaddress,fields.artistprojectstatement,fields.geo_local_area,fields.type,fields.primarymaterial,fields.locationonsite,longitude,latitude
10,public-art,e0a0ad20376b72f3f415aef84174e863efe2f37f,2020-06-22T10:31:46.074000+00:00,In place,"This bronze statue of Robbie Burns was cast from the original in his native town of Ayr, Scotland. It is designated a heritage monument.",1928,application/octet-stream,aspx?AreaId=83&ImageId=64,LAW83-1.jpg,300.0,1b6766f942ea86126a24de14dfea6aad,300.0,False,Stanley Park,83,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=83,Stanley Park,Point,"[-123.134619, 49.297198]",,City of Vancouver,92,,,,Memorial or monument,Bronze,Georgia Street entrance across from the Rowing Club,-123.134619,49.297198
11,public-art,e72a05579e02f5fd9b0ef58393d3b17f903e869f,2020-06-22T10:31:46.074000+00:00,In place,"The pole represents the Nuu-chah-nulth people: from the top, Sky Chief, Moon, Kingfisher, Humpback Whale with Thunderbird on its back. Lightning Snake with the head of a wolf is on either side of the Whale, with Wolf below.  A man of knowledge is at the bottom.",1989,application/octet-stream,aspx?AreaId=92&ImageId=1042,LSky Chief Pole - Image - Photo by Maxime Cyr-Morton - 2013.JPG,300.0,07168f87e6d889b7c45fe8831bc3beb8,300.0,False,Brockton Point,92,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=92,Stanley Park,Point,"[-123.120898, 49.299283]",Maxime Cyr-Morton,City of Vancouver,239;240,Stanley Park,,,Totem pole,Cedar,,-123.120898,49.299283
12,public-art,41aa596bde96388f69e4dfc3eede20303aae354c,2020-06-22T10:31:46.074000+00:00,Removed,,1936,,,,,,,,Prospect Point (Stanley Park),100,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=100,,,,,City of Vancouver,22,Stanley Park,"This pole was erected to commemorate the meeting of the Squamish people and Captain George Vancouver near the mouth of the Capilano River in June 1792. According to Terri Clark at the Parks office in 2006, ""..pole was taken down due to rot over 18 years ago and stored in SP yard where it was subsequently consumed by a shed fire - its ashes have returned to the soil.""",,Totem pole,cedar,,-123.1207,49.2827
13,public-art,54d613647a44e35f4c7709897870f4f1fb761fae,2020-06-22T10:31:46.074000+00:00,In place,"A Heritage Monument, this bronze bust commemmorates Vancouver's second mayor (1888-92).",1911,application/octet-stream,aspx?AreaId=103&ImageId=993,Ldavid.jpg,300.0,ed5390b5d64b89b0f8bbd2ee55d7dc96,300.0,False,Stanley Park,103,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=103,Stanley Park,Point,"[-123.146003, 49.290439]",Barbara Cole,City of Vancouver,98,Beach Avenue entrance to Stanley Park,"In the fall of 1909 a committee was formed to build a memorial to David Oppenheimer, former Mayor of Vancouver. Oppenheimer was an entrepreneur from Germany and served four 1-year terms as Mayor. He donated land for city parks and for the Rogers sugar refinery. The memorial committee planned to hire Augustus St. Gaudens to build a memorial gate to connect Stanley Park to the City in honour of Oppenheimer but they found out St. Gaudens was dead.  Charles Marega was new to Vancouver and had his first exhibition here with the Studio Club in October of 1909, showing small wax figures. Art critic Felix Penne (Francis Bursill) wrote in Vancouver World, ""These have the right feeling and directness of life and there is every indication the sculptor is capable of broader and more ambitious work - which I shall be glad to see.  Soon Vancouver will not have to propose dead sculptors to design memorials - there are and will be living and capable sculptors nearer home than on the other bank of the Styx.."" The original budget for the project was $50,000, but by the time Marega was commissioned in 1910, the project had become a bust for $4500, of which Marega was paid $3600 and the balance paid for an elaborate unveiling ceremony.  (BC Historical News 8:22-26, June 1975)",,Memorial or monument,Bronze,Opposite the Parks Board Office,-123.146003,49.290439
14,public-art,af13eea84e49656bf1485ca32898a1936f2e1cd6,2020-06-22T10:31:46.074000+00:00,In place,,1969,application/octet-stream,aspx?AreaId=109&ImageId=87,LAW109-1.jpg,300.0,3ecc02283b50b959805ede8bac1773a5,300.0,False,Vanier Park,109,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=109,Kitsilano,Point,"[-123.143789, 49.276484]",,City of Vancouver,195,1100 Chestnut Street,,Kitsilano,Sculpture,Bronze,N.E. side of the Museum of Vancouver,-123.143789,49.276484
15,public-art,d3a3aac7cbdcff5ed5820e207a01b7aa02da1c48,2020-06-22T10:31:46.074000+00:00,In place,"This sky-scraper's head is always in the clouds, in this instance, cut-out shapes by artist Alan Chung Hung.",1991,application/octet-stream,aspx?AreaId=113&ImageId=981,"LClouds, Photo Barbara Cole (1).jpg",300.0,b077d890908f275af11efcbf6997e56a,300.0,False,,113,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=113,Downtown,Point,"[-123.123447, 49.280618]",Barbara Cole,university,77,983 Howe Street,Architect Bing Thom commissioned this work for the building. The work was funded by the Pacific Continental Investment Company.,Downtown,Site-integrated work,,Balcony at top of building,-123.123447,49.280618
16,public-art,ed7174e4acde56177b1b71c4c95819a1c88c6fe5,2020-06-22T10:31:46.074000+00:00,In place,"In consultation with the Bicycle Network Subcommittee of the Bicycle Advisory Committee to Council, a proposal for the Mosaic Bikeway was developed. The Mosaic Bikeway formalizes an already popular north/south link between the Adanac Bikeway and the B.C. Parkway, as well as provides access to Britannia and Trout Lake Community Centres.A series of decorative mosaics line the bike route on the sidewalk and around traffic circles predominantly along Woodland Street from Adanac to Trout Lake, and can be found at the following locations:McLean at NapierWoodland at CharlesWoodland at GrantWoodland at GraveleyWoodland at East 3rdWoodland at East 8thWoodland at East 13thThe colourful mosaics are in circular and elongated shapes and depict maps, creatures, and abstract designs.",2000,application/octet-stream,aspx?AreaId=114&ImageId=90,LAW114-1.jpg,300.0,3e5e65ee588522600040effe8d2792aa,300.0,False,Multiple,114,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=114,Grandview-Woodland,,,,City of Vancouver,6;270,Woodland Street,"Community members participated in design and construction. Workshops were carried out at Trout Lake Community Centre and Templeton Secondary School.The Mosaic Bikeway is the first bikeway to propose community based public art as one of the features. The mosaic theme builds on the community spirit and involvement that created Mosaic Creek Park, located one block off the route at the corner of Charles Street and McLean Drive. A similar process of community involvement was used for the mosaics on the bikeway. Mosaic panels are set in new concrete work along the entire bikeway.",,Mosaic,Ceramic mosaic,Along the bike route between 14th Avenue & Adanac,-123.1207,49.2827
17,public-art,a1dac10594cf575257595b746513b84812c37d1d,2020-06-22T10:31:46.074000+00:00,In place,"The Goddess of Justice represents justice in the mythical character of Diana, a woman of noble baring in a flowing gown  holding up the scales of justice. Though Diana traditionally held a sword in her other hand, the artist, who was against capital punishment, replaced the sword with a scroll.  The sculpture is cast in bronze using the lost-wax method.",1982,application/octet-stream,aspx?AreaId=137&ImageId=106,LAW137-1.jpg,300.0,9e3978f2101671a1a79c37a1ed33924d,300.0,False,Law Courts,137,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=137,Downtown,Point,"[-123.124017, 49.280592]",,Province of British Columbia,241,"800 Smithe Street, 4th floor",,Downtown,Figurative,Bronze,"Interior, 4th floor, under glass roof",-123.124017,49.280592
18,public-art,484aed5571c8c10334652e771717b2a5fcfae1ab,2020-06-22T10:31:46.074000+00:00,In place,"The Legend of the Mosquito People is of the Gitksan Tribe. The pole incorporates the following figures: Baboudina, Chief of the Mosquitoes; young woman with a baby; young husband.",1986,application/octet-stream,aspx?AreaId=141&ImageId=889,"LMosquito by Earl Muldoe, photo by Heide Dobler.jpg",300.0,3fae4511edd16c51960382572e7d56e6,300.0,False,VanDusen Botanical Garden,141,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=141,Shaughnessy,Point,"[-123.129426, 49.23847]",Heide Dobler,City of Vancouver,109;162,5251 Oak Street,,Shaughnessy,Totem pole,Cedar,"Near entrance, on path from the parking lot to the Entrance Pavilion",-123.129426,49.23847
19,public-art,00a49cc22be0e4bb7be27f35c29bc460fa4f796d,2020-06-22T10:31:46.074000+00:00,Removed,A dark and highly detailed cast aluminum wall relief in which the central figure stands for human inspiration and creativity.,1977,application/octet-stream,aspx?AreaId=143&ImageId=112,LAW143-1.jpg,300.0,b34220c227f20d671a0f8d23f8d8f88e,300.0,False,Oceanic Plaza Building (Downtown),143,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=143,Downtown,Point,"[-123.118872, 49.287363]",Barbara Cole,private,18,1066 West Hastings Street (Downtown),,Downtown,Mural,Aluminum,"Interior, front lobby",-123.118872,49.287363
20,public-art,daf18f2783af741d8e5b46a2d7e6a99c0e4b581c,2020-06-22T10:31:46.074000+00:00,In place,"The artist created a concrete frieze of an abstract design, 95' long x 5' high.",1967,application/octet-stream,aspx?AreaId=154&ImageId=123,LAW154-1.jpg,300.0,3349749b4305bdafd4db7221e7ec6d2b,300.0,False,Postal Station D,154,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=154,Kitsilano,Point,"[-123.143186, 49.264775]",,Government of Canada,264,2405 Pine Street,,Fairview,Relief,Concrete,"Exterior, NE corner, above entrance",-123.143186,49.264775
21,public-art,2ebdea39e010da886b3333f208c44a85a086cbb5,2020-06-22T10:31:46.074000+00:00,In place,,1980,application/octet-stream,aspx?AreaId=167&ImageId=136,LAW167-1.jpg,300.0,20fce3c455dfc0e576186738a29bef6d,300.0,False,Broadway Plaza,167,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=167,Fairview,Point,"[-123.090612, 49.262779]",,private,30,601 West Broadway,,Mount Pleasant,Fountain or water feature,Concrete,,-123.090612,49.262779
22,public-art,d6d5c7f7f35c879804d113c531e45123d12922d4,2020-06-22T10:31:46.074000+00:00,In place,The sculpture is made of abstract geometric forms and constructed to suggest a ship. It sits on the grass outside the downtown skytrain station.,1986,application/octet-stream,aspx?AreaId=171&ImageId=1110,LDominique Valade - Vessel - Tamara Tosoff - 2013.JPG,300.0,d85a3798ed34a29765068605622570e6,300.0,False,Discovery Park,171,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=171,Downtown,Point,"[-123.120043, 49.285603]",Tamara Tosoff,Province of British Columbia,152,Burrard & Dunsmuir Street,,Downtown,Sculpture,Granite,Right of escalators,-123.120043,49.285603
23,public-art,0055fd7616efeb0c38684f1e833e48072bb5dd2e,2020-06-22T10:31:46.074000+00:00,In place,"A 12-foot-long stylized rocket ship made of bronze and stainless steel sits on top of an 11-foot-high stainless steel base. The design of the rocket ship looks like a 1950s Hollywood movie space ship. The design was originally created in 1936 for the Sheet Metal Workers Local 280 float for the Pacific National Exhibition Jubilee Parade on the occasion of the City of Vancouver's 50th birthday. It was designed by Lew Parry and made into a sculpture, built by Neon Products, which was sited at the first Vancouver Air Terminal from 1939 to 1972 when it was scrapped because of rust. In 1985 the Vancouver Transportation Club and the Sheet Metal Workers Union 280 decided to build a replica to celebrate Vancouver's 100th birthday. They located Lew Parry and he still had the original plans. This time the rocketship was built from more durable materials by Terminal Sheet Metal and the Local 280 metal workers. The Rocket was exhibited at Expo 86 and then donated to the city. It was moved by helicopter to it's current site. A Centennial Time Capsule is housed in the base of the rocket, scheduled to be opened 50 years from 1986. It includes items such as an Expo 86 passport with stamps of all the pavilions and recorded messages from local celebrities and many other things.
The City accepted the Centennial Rocket and a site was found for it in the small plaza at the SW end of the Cambie Street bridge.  -information from the website of SMW280",1986,application/octet-stream,aspx?AreaId=178&ImageId=1178,L178-115-Centennial_Rocket-Lilli_Wong.jpg,300.0,328ce7beb3b0e91b2e4b2f7b43444daf,300.0,False,Cambie Street Plaza,178,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=178,Fairview,Point,"[-123.115347, 49.266071]",Lilli Wong,City of Vancouver,115,Cambie Street,"1985 version:  ""Presented to the citizens of Vancouver, this rocket is to commemorate the Centennial and the celebration of Expo 86 World's Exposition. This rocket is a symbol of the role played by craftsmanship and transportation in the growth of Vancouver."" (from the plaque on the east side of the base)",Fairview,Sculpture,stainless steel & bronze,"South end of Cambie St. Bridge, W. side of bridge entrance",-123.115347,49.266071
24,public-art,719d395cfb01ecca04ac2ad3c185cc0c75526ecf,2020-06-22T10:31:46.074000+00:00,In place,,1967,application/octet-stream,aspx?AreaId=182&ImageId=845,Lmm.JPG,300.0,6956cfff02f288fd0cae4c085a4f1cde,300.0,False,Pacific National Exhibition Grounds,182,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=182,Hastings-Sunrise,Point,"[-123.043716, 49.281365]",Barbara Cole,City of Vancouver,241,3100 E. Hastings Street,,Hastings-Sunrise,Sculpture,Bronze,Corner of Renfrew,-123.043716,49.281365
25,public-art,cb0bd87cfd6284ed24dcdbc2325778c6256fb54f,2020-06-22T10:31:46.074000+00:00,In place,"This large painted mural by Orville Fisher was designated as protected heritage property by the CIty of Vancouver on September 18, 2018.",1957,application/octet-stream,aspx?AreaId=185&ImageId=151,LAW185-1.jpg,300.0,d2ef2e0bd8e42558d67663fa8e47dbce,300.0,False,Main Post Office,185,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=185,Downtown,Point,"[-123.113646, 49.281357]",,Privately owned,36,349 Homer Street,,Downtown,Mural,Paint,"Interior, main lobby",-123.113646,49.281357
26,public-art,8363e43df534e0a09aa053d0cf6941530ef3c581,2020-06-22T10:31:46.074000+00:00,In place,Three steel vertical poles hold silhouettes of stylized flower forms enamelled in different primary colours.,1980,application/octet-stream,aspx?AreaId=186&ImageId=152,LAW186-1.jpg,300.0,1009fa7a6bb38da4a0b586200bb8e27b,300.0,False,Median,186,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=186,Kensington-Cedar Cottage,Point,"[-123.073144, 49.248619]",Sam Carter,City of Vancouver,47,Kingsway & King Edward Ave,"""Shin (neutral), Soi (sunny) and Tai (shady) are three essential components to Ikebana (Japanese Flower arranging).  The red forms are romantic, the blue calm and stoic, the yellow energetic"" (Excerpt from artist statement)",Kensington-Cedar Cottage,Sculpture,Steel,Centre of green space,-123.073144,49.248619
27,public-art,ba61c572311e9c682606be798eab9ac9539024be,2020-06-22T10:31:46.074000+00:00,In place,abstract ovoid form,1975,application/octet-stream,aspx?AreaId=191&ImageId=896,LMeta Morphosis  Heide Dobler.jpg,300.0,473b91ed085515593028b02259cf11c8,300.0,False,VanDusen Botanical Garden,191,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=191,Shaughnessy,Point,"[-123.132513, 49.239702]",Heide Dobler,City of Vancouver,82,5251 Oak Street,,Shaughnessy,Sculpture,Marble,South of Mountain Ash,-123.132513,49.239702
28,public-art,43c5cc010991fafcbbbacc977a0c21cdf252a8a2,2020-06-22T10:31:46.074000+00:00,In place,Fluted column with curl,1975,application/octet-stream,aspx?AreaId=192&ImageId=887,LHorizontal Column photo Heide Dobler.jpg,300.0,805f614b073ad3392d3a7d17e7feaa14,300.0,False,VanDusen Botanical Garden,192,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=192,Shaughnessy,Point,"[-123.134604, 49.239068]",Heide Dobler,City of Vancouver,88;171,5251 Oak Street,,Shaughnessy,Sculpture,Marble,West of display gardens,-123.134604,49.239068
29,public-art,5e71e8d20d338c3b83b4912420a36bce50e0cb04,2020-06-22T10:31:46.074000+00:00,In place,Double abstract geometric form,1975,application/octet-stream,aspx?AreaId=193&ImageId=780,L1.jpg,300.0,b3d7d08004088fabb0bfcb7158a4af25,300.0,False,VanDusen Botanical Garden,193,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=193,Shaughnessy,Point,"[-123.132934, 49.238962]",Heide Dobler,City of Vancouver,235,5251 Oak Street,,Shaughnessy,Sculpture,Travertine,West of display gardens,-123.132934,49.238962
30,public-art,2a12179806615b0fd1b2d7ccd3b47d876f73edb8,2020-06-22T10:31:46.074000+00:00,In place,Two large abstract marble forms sit on a cement base.,1975,application/octet-stream,aspx?AreaId=195&ImageId=851,L1.JPG,300.0,921eb035dc9feebfcfbcce1f238fda13,300.0,False,VanDusen Botanical Garden,195,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=195,Shaughnessy,Point,"[-123.130122, 49.239103]",Heide Dobler,City of Vancouver,127,5251 Oak Street,"""I would like to feel that the particle of my personality left in the park in Vancouver will remain a symbol of understanding with all those who will meet my stone there."" -Vancouver Intl. Stone Sculpture Symposium catalogue, 1976",Shaughnessy,Sculpture,Travertine,"South central area, north of Japanese Azaleas",-123.130122,49.239103
